site_id,T1,T2,T3
1_94194324,-0.057,0,0.0016
2_94194338,0,-0.1413,0.0113
3_94194207,0.0206,-0.0926,0
4_94194319,0,-0.1246,0.0469
5_94194296,0.1214,-0.0603,0
6_94194322,0.4363,-0.0576,0
7_94194336,0.0068,0,-0.1456
8_94194298,0.1446,-0.0778,0
10_94194316,-0.0625,0,0.002
11_94194294,0.2941,-0.0758,0
12_94194318,0.2028,-0.0121,0
13_94194329,0.1491,-0.2442,0
14_94194201,0,-0.1194,0.0099
15_94194315,0,-0.0364,0.073
16_94194335,0.1912,-0.027,0
17_94194295,0.0633,0,-0.1517
18_94194300,0,0.0165,-0.0929
19_94194328,0,0.0435,-0.0981
20_94194312,0.0971,-0.0497,0
21_94194321,0.2129,-0.0497,0
22_94194327,0.1056,0,-0.0371
23_94194311,0.0251,-0.0599,0
25_94194210,0.0531,-0.1222,0
26_94194320,0.1168,0,-0.0744
27_94194203,0.1578,-0.0694,0
28_94194206,0,0.1138,-0.0429
29_94194202,0.1143,0,-0.0045
30_94194314,0.0178,-0.1314,0
31_94194333,0.2036,0,-0.0041
32_94194323,0.2382,0,-0.029
33_94194313,0.1799,-0.0583,0
35_94194421,0.09,0,-0.0194
36_94194331,0.1491,0,-0.0171
37_94194292,0.103,0,-0.124
38_94194337,0.0381,0,-0.1856
39_94194299,0,-0.1395,0.0099
39_94212876,0.1311,-0.0343,0
40_94194205,0.1235,-0.1637,0
41_94190043,0.0645,0,-0.0957
42_94212877,-0.0315,0.229,0
44_94194293,0.1817,-0.0064,0
45_94194297,0.1145,-0.0276,0
46_94194209,0.2013,-0.0074,0
47_94194204,0.1871,-0.015,0
48_94194332,0.0492,0,-0.1599
50_94194334,0,-0.0046,0.0743
51_94194208,0,-0.0639,0.0307
52_94194340,0.1006,-0.0991,0
53_94194291,0.1062,-0.0253,0
54_94194339,0.0529,-0.0724,0
55_94194325,0,-0.0041,0.1709
